,AR
2020-09-01,0.597830642293813
2020-09-02,0.5998267698423023
2020-09-03,0.5984304227920912
2020-09-04,0.5988859263254228
2020-09-08,0.5938525225921991
2020-09-09,0.5952171619762693
2020-09-10,0.5910597601839865
2020-09-11,0.5774759574170563
2020-09-14,0.5754825022405452
2020-09-15,0.5488560377020415
2020-09-16,0.5472800142455231
2020-09-17,0.518515717223592
2020-09-18,0.5232096664217695
2020-09-21,0.5289593213288825
2020-09-22,0.5403222951680987
2020-09-23,0.5264582751424901
2020-09-24,0.5351272818583501
2020-09-25,0.5354368479313871
2020-09-28,0.5337194039950623
2020-09-29,0.5389685738166222
2020-09-30,0.542726546121795
2020-10-01,0.529676067759267
2020-10-02,0.5366685438724139
2020-10-05,0.5379495470279126
2020-10-06,0.5215900864476263
2020-10-07,0.5240051543416331
2020-10-08,0.5199330181433858
2020-10-09,0.5181304575021253
2020-10-12,0.5183847405577902
2020-10-13,0.5192895500803413
2020-10-14,0.5134166004502148
2020-10-15,0.5129799760168338
2020-10-16,0.5083043053968832
2020-10-19,0.5080913255583308
2020-10-20,0.5074498355573861
2020-10-21,0.5092451402239839
2020-10-22,0.5111394540580968
2020-10-23,0.5120832814199142
2020-10-26,0.5082628813993032
2020-10-27,0.5107291389952001
2020-10-28,0.5033188288860214
2020-10-29,0.5056279114602373
2020-10-30,0.4994565475137284
2020-11-02,0.4992959103050947
2020-11-03,0.5013753919485264
2020-11-04,0.5018478988183791
2020-11-05,0.5032396812039209
2020-11-06,0.4999165339099041
2020-11-09,0.4986600632923679
2020-11-10,0.5172065666273513
2020-11-11,0.5093762362422494
2020-11-12,0.511999726155193
2020-11-13,0.514881021205812
2020-11-16,0.4991538569282304
2020-11-17,0.5014782195994607
2020-11-18,0.49975755685372053
2020-11-19,0.5011214194921758
2020-11-20,0.5010593104423848
2020-11-23,0.4950295228264166
2020-11-24,0.49347363302546304
2020-11-25,0.4946076318958728
2020-11-27,0.49426337047540336
2020-11-30,0.4941503458382205
2020-12-01,0.497262836569864
2020-12-02,0.49515070771633374
2020-12-03,0.495825726460377
2020-12-04,0.48899355931007515
2020-12-07,0.4917254834422051
2020-12-08,0.4894225119849769
2020-12-09,0.48135694211257835
2020-12-10,0.4418751538764405
2020-12-11,0.4377591692687039
2020-12-14,0.438057070388056
2020-12-15,0.4351513610634677
2020-12-16,0.4341746857728226
2020-12-17,0.4347842489075624
2020-12-18,0.43466812514646624
2020-12-21,0.4352799372962327
2020-12-22,0.43567855654028975
2020-12-23,0.4250695313138307
2020-12-24,0.4264624284602372
2020-12-28,0.42387706327287
2020-12-29,0.41867054463403786
2020-12-30,0.4194968148673342
2020-12-31,0.42013564110277735
2021-01-04,0.420572082925477
2021-01-05,0.4192852069094475
2021-01-06,0.41646704704126264
2021-01-07,0.42330374723082204
2021-01-08,0.4167762314665391
2021-01-11,0.41467202143963744
2021-01-12,0.41400050344664946
2021-01-13,0.41392739749720947
2021-01-14,0.40740992352457184
2021-01-15,0.4072737928648733
2021-01-19,0.40823986686907765
2021-01-20,0.4060127864599691
2021-01-21,0.40428176098226765
2021-01-22,0.4055819792070688
2021-01-25,0.40570669243179147
2021-01-26,0.40415597687704347
2021-01-27,0.40025857367002304
2021-01-28,0.3946880642938257
2021-01-29,0.38754570978022373
2021-02-01,0.3894200019930925
2021-02-02,0.3910897407066802
2021-02-03,0.3900066486163235
2021-02-04,0.3910364269453899
2021-02-05,0.3920376656736957
2021-02-08,0.39400184043423536
2021-02-09,0.3954239285229426
2021-02-10,0.3931361341410857
2021-02-11,0.3933253521290593
2021-02-12,0.3937318683030884
2021-02-16,0.3926851546050231
2021-02-17,0.39172454645594484
2021-02-18,0.3910637308433895
2021-02-19,0.3893340374184608
2021-02-22,0.389954995030515
2021-02-23,0.3890866984496785
2021-02-24,0.38743906207686085
2021-02-25,0.3842797263162826
2021-02-26,0.3888980143086676
2021-03-01,0.3872710576336851
2021-03-02,0.390565362473621
2021-03-03,0.39106323912266716
2021-03-04,0.38966926495877047
2021-03-05,0.39058220843594493
2021-03-08,0.39290942342521257
2021-03-09,0.3882004763175149
2021-03-10,0.3884992696982752
2021-03-11,0.3857583340397778
2021-03-12,0.38566817281440646
2021-03-15,0.38455851867990015
2021-03-16,0.38409420998722066
2021-03-17,0.38564107504109063
2021-03-18,0.38600399995677825
2021-03-19,0.388370563251772
2021-03-22,0.3890581010656218
2021-03-23,0.39043420188887135
2021-03-24,0.38786642782498665
2021-03-25,0.3874824767852697
2021-03-26,0.3836969512355907
2021-03-29,0.3850415667116393
2021-03-30,0.38841063050083213
2021-03-31,0.38597496908576445
2021-04-01,0.3852648177039718
2021-04-05,0.38675419028134705
2021-04-06,0.3873717033202214
2021-04-07,0.38737465551129
2021-04-08,0.3867097140678365
2021-04-09,0.3870872017209365
2021-04-12,0.38624656247920114
2021-04-13,0.38652863582841895
2021-04-14,0.3869469099640158
2021-04-15,0.3876892144976976
2021-04-16,0.3859499572530196
2021-04-19,0.3861358077550326
2021-04-20,0.3864977871287135
2021-04-21,0.3893616170637861
2021-04-22,0.39040944055189253
2021-04-23,0.3906583748587966
2021-04-26,0.3922756942020361
2021-04-27,0.3915011001784079
2021-04-28,0.3917182409338975
2021-04-29,0.3871157003687225
2021-04-30,0.3850400818234
2021-05-03,0.3811252646400743
2021-05-04,0.38264430943717426
2021-05-05,0.3832784324976468
2021-05-06,0.38095706633786913
2021-05-07,0.37813442782185147
2021-05-10,0.3765268878029471
2021-05-11,0.3765630057103526
2021-05-12,0.3765402278937086
2021-05-13,0.3454621338884088
2021-05-14,0.3474538073482171
2021-05-17,0.3498839399934768
2021-05-18,0.3463877910070161
2021-05-19,0.3440649980943639
2021-05-20,0.33948395824149447
2021-05-21,0.3401141173047295
2021-05-24,0.34023618429034447
2021-05-25,0.34083588566450373
2021-05-26,0.3424103453815909
2021-05-27,0.3401813813543702
2021-05-28,0.3371775220727095
2021-06-01,0.33696308903993466
2021-06-02,0.3385691970925203
2021-06-03,0.33351068320606475
2021-06-04,0.33236408677281803
2021-06-07,0.33317591749400616
2021-06-08,0.33304174017673915
2021-06-09,0.32989488718612714
2021-06-10,0.32991320733905327
2021-06-11,0.33170560019449397
2021-06-14,0.333372762134303
2021-06-15,0.3355858462674494
2021-06-16,0.33489409735067915
2021-06-17,0.3355439761536847
2021-06-18,0.33566320845494757
2021-06-21,0.33902263132000304
2021-06-22,0.3417994388426167
2021-06-23,0.3419873899744113
2021-06-24,0.3427477903565093
2021-06-25,0.34456678482637343
2021-06-28,0.3435123480101555
2021-06-29,0.3439795923061032
2021-06-30,0.3450253490210426
2021-07-01,0.343834815770212
2021-07-02,0.34421525549135584
2021-07-06,0.3447479415837257
2021-07-07,0.34717778769700786
2021-07-08,0.34483948218274124
2021-07-09,0.33530749663982135
2021-07-12,0.3411939085361556
2021-07-13,0.3417532751045087
2021-07-14,0.3452106817048838
2021-07-15,0.3439467275547996
2021-07-16,0.34396103526680305
2021-07-19,0.3444194552596924
2021-07-20,0.34611498129497004
2021-07-21,0.3526513613330137
2021-07-22,0.3558967790688759
2021-07-23,0.3577263942248235
2021-07-26,0.3574804482409172
2021-07-27,0.35800163175953253
2021-07-28,0.35738192548530934
2021-07-29,0.35618288224838734
2021-07-30,0.3640693583619705
2021-08-02,0.36306868886090815
2021-08-03,0.36356867107835295
2021-08-04,0.3666724244827605
2021-08-05,0.3697816264464331
2021-08-06,0.36842084798575847
2021-08-09,0.36878819574613486
2021-08-10,0.366469266706529
2021-08-11,0.36911562882857285
2021-08-12,0.3706398345406683
2021-08-13,0.37220659991861665
2021-08-16,0.3735113699461656
2021-08-17,0.37494181513622493
2021-08-18,0.37758480222111074
2021-08-19,0.3780610555247499
2021-08-20,0.37762764100565865
2021-08-23,0.3762280906937979
2021-08-24,0.3789955503120819
2021-08-25,0.3774774907128899
2021-08-26,0.3708803325746495
2021-08-27,0.3742093928498235
2021-08-30,0.37318983511561976
2021-08-31,0.3733554621091921
2021-09-01,0.37143927928754555
2021-09-02,0.3697860152819812
2021-09-03,0.3658664822803784
2021-09-07,0.363752854717865
2021-09-08,0.3602920765934705
2021-09-09,0.3591782738451083
2021-09-10,0.3566363509049196
2021-09-13,0.3558574363353038
2021-09-14,0.35704487260625545
2021-09-15,0.35696219679609315
2021-09-16,0.3588127104950046
2021-09-17,0.35526646471778506
2021-09-20,0.3555204412136431
2021-09-21,0.3569126439402959
2021-09-22,0.34523765392653705
2021-09-23,0.34771997419103245
2021-09-24,0.34818556236794174
2021-09-27,0.3460668131007166
2021-09-28,0.34538485229833327
2021-09-29,0.34664053759758945
2021-09-30,0.34690081514381493
2021-10-01,0.3451935647148343
2021-10-04,0.35117657436899535
2021-10-05,0.3525370251813021
2021-10-06,0.3522187893349558
2021-10-07,0.3521415881745921
2021-10-08,0.35434525697085645
2021-10-11,0.3551804941695689
2021-10-12,0.35475545266771413
2021-10-13,0.352858025344267
2021-10-14,0.3525650564630686
2021-10-15,0.35441416863524305
2021-10-18,0.35405436520242684
2021-10-19,0.3487476719025925
2021-10-20,0.3444097936141744
2021-10-21,0.3445478355174543
2021-10-22,0.3413602672980793
2021-10-25,0.34153354909268474
2021-10-26,0.34255156802028464
2021-10-27,0.34169578228243846
2021-10-28,0.34724433403701005
2021-10-29,0.34709644777834714
2021-11-01,0.34342851852540335
2021-11-02,0.35099204657312744
2021-11-03,0.34659445435059927
2021-11-04,0.34949507735445773
2021-11-05,0.3462019392641491
2021-11-08,0.3429880310037418
2021-11-09,0.34277144207698873
2021-11-10,0.3302726439729689
2021-11-11,0.32771211289737645
2021-11-12,0.3228233104401513
2021-11-15,0.32223541140130674
2021-11-16,0.3203896616491648
2021-11-17,0.31933155662623325
2021-11-18,0.3202334708847534
2021-11-19,0.3190434194785633
2021-11-22,0.3205545844425329
2021-11-23,0.31928040116735507
2021-11-24,0.3170890862148608
2021-11-26,0.3153815363223643
2021-11-29,0.32965559102077757
2021-11-30,0.323228808568394
2021-12-01,0.3323644426572353
2021-12-02,0.3351930281752094
2021-12-03,0.3436768466518913
2021-12-06,0.3458029086028523
2021-12-07,0.3498175128928582
2021-12-08,0.3520288932723587
2021-12-09,0.3519646491026814
2021-12-10,0.3533847477355637
2021-12-13,0.3521867224010475
2021-12-14,0.35369937058239576
2021-12-15,0.35397069375410695
2021-12-16,0.349426915038492
2021-12-17,0.34744014979258087
2021-12-20,0.3395658055640696
2021-12-21,0.34189848785621935
2021-12-22,0.35114383362460844
2021-12-23,0.350713607456674
2021-12-27,0.35188470411535816
2021-12-28,0.35086027424801536
2021-12-29,0.3513175168527166
2021-12-30,0.35152831344283475
2021-12-31,0.34931567065444613
2022-01-03,0.3498133074136746
2022-01-04,0.34701104653929504
2022-01-05,0.3498582188561383
2022-01-06,0.35481381232101405
2022-01-07,0.34856035323270673
2022-01-10,0.34870305488702114
2022-01-11,0.3454092636174268
2022-01-12,0.3457452919360864
2022-01-13,0.34513360809182625
2022-01-14,0.34269268358430727
2022-01-18,0.33634800462843983
2022-01-19,0.33401397781026093
2022-01-20,0.33257860035384357
2022-01-21,0.33349892152895677
2022-01-24,0.3355491344512076
2022-01-25,0.3368833612123138
2022-01-26,0.33834904779595787
2022-01-27,0.33906832545698723
2022-01-28,0.33997367783231586
2022-01-31,0.3424659114148224
2022-02-01,0.34733435438230453
2022-02-02,0.3505811705525369
2022-02-03,0.3466196185325367
2022-02-04,0.3504245500765976
2022-02-07,0.34888267345283774
2022-02-08,0.34805901453947596
2022-02-09,0.34693788339598497
2022-02-10,0.34784146744794975
2022-02-11,0.34896018933010003
2022-02-14,0.34818104392841565
2022-02-15,0.34747861531225854
2022-02-16,0.3501912948722837
2022-02-17,0.34803277716072395
2022-02-18,0.35075516737036677
2022-02-22,0.34964251395614615
2022-02-23,0.3486114740642675
2022-02-24,0.3479604201197656
2022-02-25,0.35151734616311325
2022-02-28,0.35190557379996235
2022-03-01,0.34402660501508336
2022-03-02,0.3475984942263854
2022-03-03,0.3533992664221199
2022-03-04,0.3529475004222429
2022-03-07,0.353286920090057
2022-03-08,0.3578074504675957
2022-03-09,0.35546454044410564
2022-03-10,0.3609875026419492
2022-03-11,0.3601841163729922
2022-03-14,0.36066093568355734
2022-03-15,0.3563016887447642
2022-03-16,0.35700810880871175
2022-03-17,0.3629344663157748
2022-03-18,0.36306398263393747
2022-03-21,0.3643097213936029
2022-03-22,0.3621416126197169
2022-03-23,0.3625405982616334
2022-03-24,0.3625698220000757
2022-03-25,0.360297491754465
2022-03-28,0.3608575640682428
2022-03-29,0.3585772427309248
